orderid_sha256,customerid_sha256,productid_sha256,orderdate,quantity,orderamt,salesrep
2d13759c55de32a0b36616ed48a087dc0b3987d2aad485aae374ea60221d63a1,d6703c0aee6795574fa595f16eb50d10d760f6dffc0fa2f4d220b3bc4741d998,9e3fa58790ff5e7b181e6d169722ce844fa8519d81a5b7ef8837ea39e3a36159,2021-11-16,16,1012.48,Ravi
3b369c245114b9a72b5ee6f87de705a5bf478b9286a3a20f29c7189031deee04,85e09d18171c9aee9b33b279da007af61c5c8aff106219c38986f59f7cfd5c54,37d0e7fd7950668c205f6c2ee07233b4537099d598766b50fda58004af8c4eb0,2021-11-16,486,4942.62,Ravi
f5e6dce5fab16e2ef8b4f91bf110abd3717a9558ae0620d5175850e3794eeade,6d95f5eaab595da01c0de61be38e24c525f7dc17889430cd4828acd950cabb12,37d0e7fd7950668c205f6c2ee07233b4537099d598766b50fda58004af8c4eb0,2021-11-16,373,3793.41,Róisín
333bf628f25548a83e8504606ac2dd502416b1c8a976254c081b4d46b8ca8c24,867abca2e9735ad6dbc915c1af269e472c71157ad6c66f2323b6a5c4dcf7b804,e42ee89c57d2c95d2e0e553f0bf7fc3091005ceb538794f6c7c233d645560135,2021-11-16,491,22203.02,Ravi
11cc680d124f4345d1f5f1d6a03221018b55085ba5ff123f3eee785abba3e16b,e49f2829220ace9c60b322244820eb4b38413df0188177a9c686bc78adf78274,9e3fa58790ff5e7b181e6d169722ce844fa8519d81a5b7ef8837ea39e3a36159,2021-11-17,7187,454793.36,Leslie
da1d2773c4aca439b2ca56fa77b9a1b2c2fef1a02d5bffbdb58685bde3ed26c1,18d3f60af18b67d3fbcdcab6bfed94ce7fee6ddb4c747fe4ffbdfa5f638747d4,37d0e7fd7950668c205f6c2ee07233b4537099d598766b50fda58004af8c4eb0,2021-11-17,431,4383.27,Róisín
fa40c63845951f93934e2f400ee5ba8b29f22d7224f4013d247b47ae29fe7d48,58e1dd6ad7e0d32e2f1b49d095b4768f27ccd1fa0d4b25bff3528abf9d93f23a,9e3fa58790ff5e7b181e6d169722ce844fa8519d81a5b7ef8837ea39e3a36159,2021-11-17,782,49484.96,Liam
8e81dfd10b3643e4bf62661b7d3a43fd035ba210b12670407899b2e21bb72d18,eec47c0810c599d8920060e80bc6a27c7363c2090eee39095c04f25b65cd4e7d,9e3fa58790ff5e7b181e6d169722ce844fa8519d81a5b7ef8837ea39e3a36159,2021-11-17,580,36702.4,Zuri
8d2617d61db661bae3276550991137e317c1b45d7210f8f12a5340c27291f1a6,4336649b401094cd607af35dcedc463e1528d93d65ea1e3c5bb314213e98ec32,37d0e7fd7950668c205f6c2ee07233b4537099d598766b50fda58004af8c4eb0,2021-11-17,539,5481.63,Róisín
02bcfc94730ed9a7de595073ce24f02d72b240d915d2c517f8c40a56b679f4c3,18d3f60af18b67d3fbcdcab6bfed94ce7fee6ddb4c747fe4ffbdfa5f638747d4,f6aed4fe9e1e49b8edc9aec1436f8c2d6f49372789a6cbe3a04718664d272660,2021-11-17,1277,55970.91,Ravi
1f66df4583f7b47d039d612e54ebed42aaf5442c88ad102a042a2c7424114151,e49f2829220ace9c60b322244820eb4b38413df0188177a9c686bc78adf78274,9e3fa58790ff5e7b181e6d169722ce844fa8519d81a5b7ef8837ea39e3a36159,2021-11-17,1887,119409.36,Róisín
8a2bed6d1efce64d43a7b241bf8e8d6db55daacc382ac93bcbbed7eef3ebdeda,b07238fe228374e83393927c6ba36313384e0381f8f5c0b212fef30c04440cb8,e42ee89c57d2c95d2e0e553f0bf7fc3091005ceb538794f6c7c233d645560135,2021-11-17,8001,361805.22,Leslie
daebb4ce99c9383c459720867fddb00d060779a97a3c7eecc4e42aff0f1ca29d,875e24171cdfb50e0c8ef61823fe2980a334e41afdde8a1402d669999f123be3,b3d4b62383a78d2c3bcb57bb1e358f0a56057fa69aa6e1c05974e9fc4d44b56f,2021-11-17,6534,1152140.22,Zuri
0073f5e7ecc1c2098e2c17f073c205e7170e7334e07f3442e48e7e271300a1ab,d6703c0aee6795574fa595f16eb50d10d760f6dffc0fa2f4d220b3bc4741d998,37d0e7fd7950668c205f6c2ee07233b4537099d598766b50fda58004af8c4eb0,2021-11-18,1509,15346.53,Róisín
a7b715232270f0b54b8f224e7f168f328c591e61d8d0f97477e0a89cfb48faff,c7fb2ab608de523bf0f2be15f54f041b071feafb26aafe1ab17d43d9cc810069,9e3fa58790ff5e7b181e6d169722ce844fa8519d81a5b7ef8837ea39e3a36159,2021-11-18,7307,462386.96,Róisín
1fcabbbe1175761ca95cf7156ec7c5c0553714e850ec7bd151afd6f0403d7da3,83c5e05c2ff7ad212ad0ab2e98e0c6e8d812539b9fb16b2b84a75bb0bc3f7cd0,9e3fa58790ff5e7b181e6d169722ce844fa8519d81a5b7ef8837ea39e3a36159,2021-11-18,4527,286468.56,Leslie
bd5ffa6790c6d79202ae392bdf550b89a2dcbe16183220aeeee0fb2804db532a,9dc8ffeb2e9b2f68ff95ac9cc4c43cee4bc772a459b586cd01a1e4da7ee61164,37d0e7fd7950668c205f6c2ee07233b4537099d598766b50fda58004af8c4eb0,2021-11-18,300,3051.0,Zuri
776a22a2044c51e21c3cf27dbd20e6c4218c6d7f38460e3a21b487e0fb31c3ee,d4819ac0aa5fb4f28683b9a0ddf763a5ec73fd7d57cc13783f795f3b53da6020,b3d4b62383a78d2c3bcb57bb1e358f0a56057fa69aa6e1c05974e9fc4d44b56f,2021-11-18,6396,1127806.68,Leslie
38040c671779722269fe46585de9b9c96c20ce58e3228d3cdc21dc6d0815a6ae,6e228ec7710a983ba1bdde889aec18202a58f1d7fd3ff1d0b1431183806cfa6d,37d0e7fd7950668c205f6c2ee07233b4537099d598766b50fda58004af8c4eb0,2021-11-18,5940,60409.8,Liam
72bb3f06823f1480e8a04d17e00dc3c0a572caa5b7fe1fcc2a8b80b9043a75f2,18d3f60af18b67d3fbcdcab6bfed94ce7fee6ddb4c747fe4ffbdfa5f638747d4,9e3fa58790ff5e7b181e6d169722ce844fa8519d81a5b7ef8837ea39e3a36159,2021-11-18,504,31893.12,Róisín
44e96b0d4765402804484c58d5b17cb65e0afa52b65130830d12e60273200dfa,d6703c0aee6795574fa595f16eb50d10d760f6dffc0fa2f4d220b3bc4741d998,37d0e7fd7950668c205f6c2ee07233b4537099d598766b50fda58004af8c4eb0,2021-11-18,614,6244.38,Róisín
cc43cc5e878da8500210cbe4a937184df6fd4bdf9266fe594d93bdfe8731a7b9,d6703c0aee6795574fa595f16eb50d10d760f6dffc0fa2f4d220b3bc4741d998,9e3fa58790ff5e7b181e6d169722ce844fa8519d81a5b7ef8837ea39e3a36159,2021-11-18,5846,369934.88,Róisín
ce6d7605ea4b798e62f1e1b7e3bab8bf888dfc8d7babc4067f2d4c34909364f8,8d52c5ee3e8a674ef54a51e3b1cb32948f1474ad8dad0ffa628b42bc3f4cf4e1,37d0e7fd7950668c205f6c2ee07233b4537099d598766b50fda58004af8c4eb0,2021-11-19,431,4383.27,Leslie
ee36651f3fed70e14a5801fe7352a075636a972c1e573b5383625a968fdfaa0c,c7fb2ab608de523bf0f2be15f54f041b071feafb26aafe1ab17d43d9cc810069,37d0e7fd7950668c205f6c2ee07233b4537099d598766b50fda58004af8c4eb0,2021-11-19,1298,13200.66,Róisín
f41be124d238b9fbb185a5ee9bfe6bebb9fd427bd6b6269bad6a5bcaf714ce0f,3c69ed81e4d187ec56720ea68f1bed5000ec93c4243bbdf034944ea86b3de9ed,37d0e7fd7950668c205f6c2ee07233b4537099d598766b50fda58004af8c4eb0,2021-11-19,6506,66166.02,Ravi
872ff5a211308d00b0a5bb56b4c2e8352081b62d10b2cb9c1a63bd20e63a0531,01d7adfdcc31a6b35deaccbe8de5cba72e9f843f48ae4e3945f42a40dd768715,37d0e7fd7950668c205f6c2ee07233b4537099d598766b50fda58004af8c4eb0,2021-11-19,162,1647.54,Leslie
ad6c81aeefd9094dcc0783b34f8b455e6b009cbae29be1b0c04243e90f0021a2,01d7adfdcc31a6b35deaccbe8de5cba72e9f843f48ae4e3945f42a40dd768715,9e3fa58790ff5e7b181e6d169722ce844fa8519d81a5b7ef8837ea39e3a36159,2021-11-19,4756,300959.68,Harry
edb3d63a27ebe39be135e098b4c94c24baf8d15be87f30fd606e54bee3a7d725,b07238fe228374e83393927c6ba36313384e0381f8f5c0b212fef30c04440cb8,37d0e7fd7950668c205f6c2ee07233b4537099d598766b50fda58004af8c4eb0,2021-11-20,4775,48561.75,Róisín
4395e6c124d1a1a1aee66d96d940827f277fb05e75e5a6bcae60f84e5a8d2a5c,01d7adfdcc31a6b35deaccbe8de5cba72e9f843f48ae4e3945f42a40dd768715,9e3fa58790ff5e7b181e6d169722ce844fa8519d81a5b7ef8837ea39e3a36159,2021-11-22,4598,290961.44,Ravi
f7ed44a5f3be61d8d0c65b133cbd1a4a39252fc20df805e2fe3037a21375d52b,adea484e43c1b41edfd7032a54d7fccc4fb541fbdc1b2a6ffd40ab58583fc520,37d0e7fd7950668c205f6c2ee07233b4537099d598766b50fda58004af8c4eb0,2021-11-22,424,4312.08,Róisín
864dfaa68bc848731d96f84f580a0dd57d9a2028c23bb4083e8ae8d5767bea72,8d52c5ee3e8a674ef54a51e3b1cb32948f1474ad8dad0ffa628b42bc3f4cf4e1,e42ee89c57d2c95d2e0e553f0bf7fc3091005ceb538794f6c7c233d645560135,2021-11-22,7397,334492.34,Zuri
06763f48ba0d7ee1cddbf5662a77f3f24ebf1f51c3f8ecd13a5eac6c90fd09fa,4336649b401094cd607af35dcedc463e1528d93d65ea1e3c5bb314213e98ec32,37d0e7fd7950668c205f6c2ee07233b4537099d598766b50fda58004af8c4eb0,2021-11-22,252,2562.84,Ravi
f502bc72b456a34e73230b4fb4997c9243d88a8aba065c0744484e81ed8d876f,1bc83272d84234ac88aada74c7119502aa0e54a2f32b8b0786a76370c5260c96,e42ee89c57d2c95d2e0e553f0bf7fc3091005ceb538794f6c7c233d645560135,2021-11-22,532,24057.04,Ravi
f58e3eebdc4db86792d31a1b8ce3ddd49cc7ebd89a618e237df21fc919dfe182,6e228ec7710a983ba1bdde889aec18202a58f1d7fd3ff1d0b1431183806cfa6d,e42ee89c57d2c95d2e0e553f0bf7fc3091005ceb538794f6c7c233d645560135,2021-11-22,56,2532.32,Harry
2557c1c418b6b7bc5e4c50137392f913896c066a4397fa37cab26d7e645e5d2e,01d7adfdcc31a6b35deaccbe8de5cba72e9f843f48ae4e3945f42a40dd768715,37d0e7fd7950668c205f6c2ee07233b4537099d598766b50fda58004af8c4eb0,2021-11-22,3227,32818.59,Róisín
265e4d2ed5f11def18a46d4f6e7628e471a617380b514f7af1c8ef380351d87f,867abca2e9735ad6dbc915c1af269e472c71157ad6c66f2323b6a5c4dcf7b804,e42ee89c57d2c95d2e0e553f0bf7fc3091005ceb538794f6c7c233d645560135,2021-11-22,3804,172016.88,Ravi
1431d8fee5aacd640c632b1553dc367fad5ced6270a4ad11a7ebc0ef41a6892a,b716bd092ada08dbffd674f72a435c8f9f8215b947a8d4f41c0de09d90df6294,37d0e7fd7950668c205f6c2ee07233b4537099d598766b50fda58004af8c4eb0,2021-11-23,434,4413.78,Zuri
453147de581ea35f2fed4ae16002f78bd48f4fb952d260caa372fe351dac54a6,845ceb8dff59b2fdfc501841bbcff0818c7fb8d28ee83fc3f50574a16ab45400,9e3fa58790ff5e7b181e6d169722ce844fa8519d81a5b7ef8837ea39e3a36159,2021-11-23,2817,178259.76,Harry
199171b47801c577c4fa24ba5cc87b12c8cb3ad577cc20ac9379910f2457ba94,6424f989c044cbbdce9173470b76f3b33208483ec4995c61d9a0435db856c170,37d0e7fd7950668c205f6c2ee07233b4537099d598766b50fda58004af8c4eb0,2021-11-23,495,5034.15,Zuri
4ef8df260f442d69d7e0cde99294faf5d615490093c7908b35507d92e70cb1c9,d6703c0aee6795574fa595f16eb50d10d760f6dffc0fa2f4d220b3bc4741d998,e42ee89c57d2c95d2e0e553f0bf7fc3091005ceb538794f6c7c233d645560135,2021-11-23,286,12932.92,Ravi
70a08a80ad90491ea0c9f6c6bd3aa03c92d9ea81863ec8ddf7d90663a3669403,18d3f60af18b67d3fbcdcab6bfed94ce7fee6ddb4c747fe4ffbdfa5f638747d4,37d0e7fd7950668c205f6c2ee07233b4537099d598766b50fda58004af8c4eb0,2021-11-23,567,5766.39,Zuri
451b8440af0505604e5bf1d58b4fd209d8ee9cbb2ce512dddad05679233b201a,f569e9565676fda27a6869bebfb8a155e395c9deb742b43aeee750a91efd4066,37d0e7fd7950668c205f6c2ee07233b4537099d598766b50fda58004af8c4eb0,2021-11-23,7313,74373.21,Leslie
bd48bd131f9aa952ac1dcad261661c47162950ca922bf8cacfc00afb5034f381,2096a40b930bdf8a44eb25f63fc274b17e017cff33d0c279b18633fdb50cce8d,e42ee89c57d2c95d2e0e553f0bf7fc3091005ceb538794f6c7c233d645560135,2021-11-23,5503,248845.66,Zuri
f0a46b51c7f79141d1d6f653fda606949dfbe8efad7115bc038a533292bccd9d,3c69ed81e4d187ec56720ea68f1bed5000ec93c4243bbdf034944ea86b3de9ed,e3ee9785c02b31972ff02225909e6000d5d367b1943276674d746d05c074c946,2021-11-23,9183,229483.17,Róisín
a78fccad737ab83f674e39050a9e796db3ad69be4f3f0d51a1bb85a988a0290f,125bb7a8f0c17632b1a4511c224f248517896f1e4e46b8aa85c9edeb5351e99d,e3ee9785c02b31972ff02225909e6000d5d367b1943276674d746d05c074c946,2021-11-23,6096,152339.04,Liam
c6c08a2f616815832699581d816332da13a2ffc77318531c0bef421cc5b35e6e,b652c6806e449420277b8727c799622bfe2d2476788aa62088b2fc34d993bfa2,e42ee89c57d2c95d2e0e553f0bf7fc3091005ceb538794f6c7c233d645560135,2021-11-24,398,17997.56,Ravi
5b700e6e534c68baf43ccc9c9b0bcd724749472f708605acdc7c4d28d037d208,c83f47a6f374d0b5740d69c8f63b69819f13ac20c8c3b1bb2da1238d04c462cc,e42ee89c57d2c95d2e0e553f0bf7fc3091005ceb538794f6c7c233d645560135,2021-11-24,49,2215.78,Leslie
742746b88e73c3a60f70108659c4cc1ffbae73ce416cf296cf456b0cdc6caf5f,d6703c0aee6795574fa595f16eb50d10d760f6dffc0fa2f4d220b3bc4741d998,b3d4b62383a78d2c3bcb57bb1e358f0a56057fa69aa6e1c05974e9fc4d44b56f,2021-11-24,294,51841.02,Róisín
8033b0c1005f6d8e524a80001d367ac45563cac8cfa3df93031d92c46aaac982,4336649b401094cd607af35dcedc463e1528d93d65ea1e3c5bb314213e98ec32,f6aed4fe9e1e49b8edc9aec1436f8c2d6f49372789a6cbe3a04718664d272660,2021-11-24,357,15647.31,Róisín
a0fabef5464d1dcfbc4f371cf68f5e840706783add92e9028552cb286f17e53a,6d95f5eaab595da01c0de61be38e24c525f7dc17889430cd4828acd950cabb12,37d0e7fd7950668c205f6c2ee07233b4537099d598766b50fda58004af8c4eb0,2021-11-24,389,3956.13,Róisín
a1f613b82b55977beaa11740472e922eeb28fdc3645dd2f1d9d0421d24cd5824,96484cccb4c2949ac2eafbef707b4db33491a071ec486108f7c094db49ef4af3,9e3fa58790ff5e7b181e6d169722ce844fa8519d81a5b7ef8837ea39e3a36159,2021-11-25,291,18414.48,Zuri
ae4ea086f68f3ee8f83f8eb118d1d989caed142732c9e325fd00372cbea451dc,d6703c0aee6795574fa595f16eb50d10d760f6dffc0fa2f4d220b3bc4741d998,9e3fa58790ff5e7b181e6d169722ce844fa8519d81a5b7ef8837ea39e3a36159,2021-11-25,254,16073.12,Ravi
fe13a3972917e317f03971b0f4f3ca573cee84d40b6a25298d2def25b9b85dca,125bb7a8f0c17632b1a4511c224f248517896f1e4e46b8aa85c9edeb5351e99d,9e3fa58790ff5e7b181e6d169722ce844fa8519d81a5b7ef8837ea39e3a36159,2021-11-25,279,17655.12,Liam
9a12614c5326486bfd5c87655dba49d30560c72d2bbfc8388de97f3c965c1523,d4819ac0aa5fb4f28683b9a0ddf763a5ec73fd7d57cc13783f795f3b53da6020,37d0e7fd7950668c205f6c2ee07233b4537099d598766b50fda58004af8c4eb0,2021-11-25,7074,71942.58,Liam
8d0b9a84ba4567663657e4cbe0e4fea7e180a0aef6d4f3f276fe2949b1396309,5b95da2d3df4ee4675da425ef77af7c2a59f108030bb0344e6a6924aed5c042a,9e3fa58790ff5e7b181e6d169722ce844fa8519d81a5b7ef8837ea39e3a36159,2021-11-25,5619,355570.32,Harry
2f13b427efb3313d183b45de9892eeaa651aab2abc4017f88ba2aa77614edeb4,2844fb8eb88264f2c78d1018a6d44a2bc73f03f95c4a396aaf015f06fb31aa6e,e42ee89c57d2c95d2e0e553f0bf7fc3091005ceb538794f6c7c233d645560135,2021-11-25,376,17002.72,Zuri
5cf2fd29c139ff488fe7e2354bb33c49e4bd58a51f083a888f1991710017863d,d6703c0aee6795574fa595f16eb50d10d760f6dffc0fa2f4d220b3bc4741d998,b3d4b62383a78d2c3bcb57bb1e358f0a56057fa69aa6e1c05974e9fc4d44b56f,2021-11-25,645,113732.85,Ravi
84f6a1dfa605e1ee061d9b786b5195a4d16ef8d9dbdc9c6b4d293414416a4317,01d7adfdcc31a6b35deaccbe8de5cba72e9f843f48ae4e3945f42a40dd768715,e42ee89c57d2c95d2e0e553f0bf7fc3091005ceb538794f6c7c233d645560135,2021-11-26,440,19896.8,Ravi
