1,11/9/2016 21:25:00,9/11/2016,Lucas Oil Stadium,Indianapolis Colts,Detroit Lions,null,2016-09-11
2,18/09/2016 18:00,9/18/2016,Ford Field,Detroit Lions,Tennessee Titans,null,2016-09-18
3,25/09/2016 18:00,9/25/2016,Lambeau Field,Green Bay Packers,Detroit Lions,null,2016-09-25
4,2/10/2016 18:00:00,10/2/2016,Soldier Field,Chicago Bears,Detroit Lions,null,2016-10-02
5,9/10/2016 18:00:00,10/9/2016,Ford Field,Detroit Lions,Philadelphia Eagles,null,2016-10-09
6,16/10/2016 18:00,10/16/2016,Ford Field,Detroit Lions,Los Angeles Rams,null,2016-10-16
7,23/10/2016 18:00,10/23/2016,Ford Field,Detroit Lions,Washington,null,2016-10-23
8,30/10/2016 17:00,10/30/2016,NRG Stadium,Houston Texans,Detroit Lions,null,2016-10-30
9,6/11/2016 18:00:00,11/6/2106,U.S. Bank Stadium,Minnesota Vikings,Detroit Lions,null,2106-11-06
10,20/11/2016 18:00,11/20/2016,Ford Field,Detroit Lions,Jacksonville Jaguars,null,2016-11-20
11,24/11/2016 17:30,11/24/2016,Ford Field,Detroit Lions,Minnesota Vikings,null,2016-11-24
12,4/12/2016 18:00:00,12/4/2016,Mercedes-Benz Superdome,New Orleans Saints,Detroit Lions,null,2016-12-04
13,11/12/2016 18:00:00,12/11/2016,Ford Field,Detroit Lions,Chicago Bears,null,2016-12-11
14,18/12/2016 18:00,12/18/2016,MetLife Stadium,New York Giants,Detroit Lions,null,2016-12-18
15,27/12/2016 01:30,12/27/2016,AT&T Stadium,Dallas Cowboys,Detroit Lions,null,2016-12-27
16,2/1/2017 13:30:00,1/2/2017,Ford Field,Detroit Lions,Green Bay Packers,null,2017-01-02
17,10/9/2017 13:00:00,9/10/2017,Ford Field,Detroit Lions,Arizona Cardinals,null,2017-09-10
18,18/09/2017 20:30,9/18/2017,MetLife Stadium,New York Giants,Detroit Lions,null,2017-09-18
19,24/09/2017 13:00,9/24/2017,Ford Field,Detroit Lions,Atlanta Falcons,null,2017-09-24
20,1/10/2017 13:00:00,10/1/2017,U.S. Bank Stadium,Minnesota Vikings,Detroit Lions,null,2017-10-01
21,8/10/2017 13:00:00,10/8/2017,Ford Field,Detroit Lions,Carolina Panthers,null,2017-10-08
22,15/10/2017 13:00,10/15/2017,Mercedes-Benz Superdome,New Orleans Saints,Detroit Lions,null,2017-10-15
23,29/10/2017 20:30,10/29/2017,Ford Field,Detroit Lions,Pittsburgh Steelers,null,2017-10-29
24,6/11/2017 20:30:00,11/6/2017,Lambeau Field,Green Bay Packers,Detroit Lions,null,2017-11-06
25,12/11/2017 13:00:00,11/12/2017,Ford Field,Detroit Lions,Cleveland Browns,null,2017-11-12
26,19/11/2017 13:00,11/19/2017,Soldier Field,Chicago Bears,Detroit Lions,null,2017-11-19
27,23/11/2017 12:30,11/23/2017,Ford Field,Detroit Lions,Minnesota Vikings,null,2017-11-23
28,3/12/2017 13:00:00,12/3/2017,M&T Bank Stadium,Baltimore Ravens,Detroit Lions,null,2017-12-03
29,10/12/2017 13:00:00,12/10/0217,Raymond James Stadium,Tampa Bay Buccaneers,Detroit Lions,null,0217-12-10
30,16/12/2017 16:30,12/16/2017,Ford Field,Detroit Lions,Chicago Bears,null,2017-12-16
31,24/12/2017 13:00,12/24/2017,Paul Brown Stadium,Cincinnati Bengals,Detroit Lions,null,2017-12-24
32,31/12/2017 13:00,12/31/2017,Ford Field,Detroit Lions,Green Bay Packers,null,2017-12-31
33,10/9/2018 19:10:00,9/10/2018,Ford Field,Detroit Lions,New York Jets,null,2018-09-10
34,16/09/2018 16:05,9/16/2018,Levi's Stadium,San Francisco 49ers,Detroit Lions,null,2018-09-16
35,23/09/2018 20:20,9/23/2018,Ford Field,Detroit Lions,New England Patriots,null,2018-09-23
36,30/09/2018 13:00,9/30/2018,AT&T Stadium,Dallas Cowboys,Detroit Lions,null,2018-09-30
37,7/10/2018 13:00:00,10/7/2018,Ford Field,Detroit Lions,Green Bay Packers,null,2018-10-07
38,21/10/2018 13:00,10/21/2018,Hard Rock Stadium,Miami Dolphins,Detroit Lions,null,2018-10-21
39,28/10/2018 13:00,10/28/2018,Ford Field,Detroit Lions,Seattle Seahawks,null,2018-10-28
40,4/11/2018 13:00:00,11/4/2018,U.S. Bank Stadium,Minnesota Vikings,Detroit Lions,null,2018-11-04
41,11/11/2018 13:00:00,11/11/2018,Soldier Field,Chicago Bears,Detroit Lions,null,2018-11-11
42,18/11/2018 13:00,11/18/2018,Ford Field,Detroit Lions,Carolina Panthers,null,2018-11-18
43,22/11/2018 12:30,11/22/2018,Ford Field,Detroit Lions,Chicago Bears,null,2018-11-22
44,2/12/2018 13:00:00,12/2/2018,Ford Field,Detroit Lions,Los Angeles Rams,null,2018-12-02
45,9/12/2018 16:25:00,12/9/2018,U of Phoenix Stadium,Arizona Cardinals,Detroit Lions,null,2018-12-09
46,16/12/2018 13:00,12/16/2018,New Era Field,Buffalo Bills,Detroit Lions,null,2018-12-16
47,23/12/2018 13:00,12/23/2018,Ford Field,Detroit Lions,Minnesota Vikings,null,2018-12-23
48,30/12/2018 13:00,12/30/2018,Lambeau Field,Green Bay Packers,Detroit Lions,null,2018-12-30
49,8/9/2019 16:25:00,9/8/2019,State Farm Stadium,Arizona Cardinals,Detroit Lions,null,2019-09-08
50,15/09/2019 13:00,9/15/2019,Ford Field,Detroit Lions,Los Angeles Chargers,null,2019-09-15
51,22/09/2019 13:00,9/22/2019,Lincoln Financial Field,Philadelphia Eagles,Detroit Lions,null,2019-09-22
52,29/09/2019 13:00,9/29/2019,Ford Field,Detroit Lions,Kansas City Chiefs,null,2019-09-29
53,14/10/2019 20:15,10/14/2019,Lambeau Field,Green Bay Packers,Detroit Lions,null,2019-10-14
54,20/10/2019 13:00,10/20/2019,Ford Field,Detroit Lions,Minnesota Vikings,null,2019-10-20
55,27/10/2019 13:00,10/27/2019,Ford Field,Detroit Lions,New York Giants,null,2019-10-27
56,3/11/2019 16:05:00,11/3/2019,RingCentral Coliseum,Oakland Raiders,Detroit Lions,null,2019-11-03
57,10/11/2019 13:00:00,11/10/2019,Soldier Field,Chicago Bears,Detroit Lions,null,2019-11-10
58,17/11/2019 13:00,11/17/2019,Ford Field,Detroit Lions,Dallas Cowboys,null,2019-11-17
59,24/11/2019 13:00,11/24/2019,FedEx Field,Washington,Detroit Lions,null,2019-11-24
60,28/11/2019 12:30,11/28/2019,Ford Field,Detroit Lions,Chicago Bears,null,2019-11-28
61,8/12/2019 13:00:00,12/8/2019,U.S. Bank Stadium,Minnesota Vikings,Detroit Lions,null,2019-12-08
62,15/12/2019 13:00,12/15/2019,Ford Field,Detroit Lions,Tampa Bay Buccaneers,null,2019-12-15
63,22/12/2019 16:05,12/22/2019,Broncos Stadium at Mile High,Denver Broncos,Detroit Lions,null,2019-12-22
64,29/12/2019 13:00,12/29/2019,Ford Field,Detroit Lions,Green Bay Packers,null,2019-12-29
65,13/09/2020 10:00,9/13/2020,Ford Field,Detroit Lions,Chicago Bears,null,2020-09-13
66,20/09/2020 10:00,9/20/2020,Lambeau Field,Green Bay Packers,Detroit Lions,null,2020-09-20
67,27/09/2020 13:25,9/27/2020,State Farm Stadium,Arizona Cardinals,Detroit Lions,null,2020-09-27
68,4/10/2020 10:00:00,10/4/2020,Ford Field,Detroit Lions,New Orleans Saints,null,2020-10-04
69,18/10/2020 10:00,10/18/2020,TIAA Bank Field,Jacksonville Jaguars,Detroit Lions,null,2020-10-18
70,25/10/2020 10:00,10/25/2020,Mercedes-Benz Stadium,Atlanta Falcons,Detroit Lions,null,2020-10-25
71,1/11/2020 10:00:00,11/1/2020,Ford Field,Detroit Lions,Indianapolis Colts,null,2020-11-01
72,8/11/2020 10:00:00,11/8/2020,U.S. Bank Stadium,Minnesota Vikings,Detroit Lions,null,2020-11-08
73,15/11/2020 10:00,11/15/2020,Ford Field,Detroit Lions,Washington,null,2020-11-15
74,22/11/2020 10:00,11/22/2020,Bank of America Stadium,Carolina Panthers,Detroit Lions,null,2020-11-22
75,26/11/2020 09:30,11/26/2020,Ford Field,Detroit Lions,Houston Texans,null,2020-11-26
76,6/12/2020 10:00:00,12/6/2020,Soldier Field,Chicago Bears,Detroit Lions,null,2020-12-06
